feature_name,importance,rank
feature_549,0.0004580529138969197,140
feature_550,0.0004573380802356475,141
feature_282,0.0004559735839653217,142
feature_452,0.000450964341237603,143
feature_576,0.0004467164711727756,144
feature_392,0.0004308001154721963,145
feature_222,0.0004261967966574853,146
feature_062,0.0004172815833823118,147
feature_215,0.0004077094677275905,148
feature_586,0.0004065931790966537,149
feature_073,0.0004053707211263746,150
feature_362,0.00040293997848632744,151
feature_413,0.00039857508237297614,152
feature_025,0.0003699748737170133,153
feature_566,0.0003593096944147972,154
feature_436,0.0003522879007020419,155
feature_000,0.0003496613955496303,156
feature_144,0.0003486664549864099,157
feature_253,0.00034265429704087303,158
feature_184,0.00033547899656725667,159
feature_271,0.00033218241350633224,160
feature_181,0.0003264584643871554,161
feature_539,0.00032526826028027035,162
feature_010,0.0003165688203983719,163
feature_015,0.00031363514000643243,164
feature_511,0.00031182728874691037,165
feature_048,0.0003056546819439676,166
feature_224,0.00030494741757984003,167
feature_556,0.000301441199370453,168
feature_415,0.00028789735127978386,169
feature_368,0.0002665084819801405,170
feature_145,0.00026447792574401107,171
feature_268,0.000260758659343846,172
feature_305,0.00025869489481414597,173
feature_541,0.00025721534623244504,174
feature_269,0.0002551912787927851,175
feature_568,0.00025045895267757355,176
feature_584,0.00024883976363186677,177
feature_553,0.00022835462630002302,178
feature_470,0.0002272820969369621,179
feature_211,0.00022642216487033794,180
feature_050,0.00022026923885939132,181
feature_093,0.00021711865231236472,182
feature_081,0.00021467323768808723,183
feature_053,0.0002132678939449545,184
feature_574,0.0002130008870009442,185
feature_499,0.0002070225154142763,186
feature_273,0.00020669592571792296,187
feature_494,0.00020469828830562697,188
feature_420,0.00020118379842136712,189
feature_107,0.00020049209346213737,190
feature_443,0.00019957922996605149,191
feature_527,0.00019434648825917555,192
feature_173,0.000194060944920027,193
feature_444,0.0001940308684955483,194
feature_018,0.00019083079135528424,195
feature_336,0.0001885108358265053,196
feature_421,0.00016322139573869964,197
feature_520,0.0001624745106836495,198
feature_223,0.00016135097159373225,199
feature_014,0.00015728630961849566,200
feature_197,0.0001558110479916025,201
feature_051,0.00015566752671471173,202
feature_411,0.00014488048954535703,203
feature_198,0.00014084028681359828,204
feature_200,0.0001350409926353574,205
feature_154,0.0001267575525946002,206
feature_354,0.0001259658046048495,207
feature_214,0.00012107374311987051,208
feature_386,0.00010867211549334677,209
feature_473,0.00010253658349631822,210
feature_077,9.996288698601585e-05,211
feature_551,9.578437535506245e-05,212
feature_047,9.26639904453852e-05,213
feature_583,8.901974950523695e-05,214
feature_034,7.555189420468123e-05,215
feature_441,6.531936350750444e-05,216
feature_439,6.503559993319419e-05,217
feature_009,5.347399307308598e-05,218
feature_363,4.937713065377436e-05,219
feature_267,4.731763840038206e-05,220
feature_447,4.622835268137115e-05,221
feature_060,3.896671655897743e-05,222
feature_320,3.729704939527401e-05,223
feature_002,3.278914293574631e-05,224
feature_088,3.2560772616394006e-05,225
feature_521,2.6621410269211943e-05,226
feature_203,1.5255419239243451e-05,227
feature_012,1.7831669926915427e-06,228
feature_458,0.0,229
feature_466,0.0,230
feature_465,0.0,231
feature_461,0.0,232
feature_531,0.0,233
feature_529,0.0,234
